,Video_name,totalFrame,fps,IB_count,OOB_count,total_time,IB_event_time,OOB_event_time,OOB_event_cnt,annotation_start_point,annotation_end_point,start_frame_idx,end_frame_idx,OOB_event_duration,start_frame_time,end_frame_time
0,L_301_xx0_01,51360,59.94,51360,0,856.8568568568569,856.8568568568569,0.0,0,-100,-100,-100,-100,0,-100.0,-100.0
1,L_301_xx0_02,51810,59.94,51810,0,864.3643643643644,864.3643643643644,0.0,0,-100,-100,-100,-100,0,-100.0,-100.0
2,L_301_xx0_03,51750,59.94,51750,0,863.3633633633634,863.3633633633634,0.0,0,-100,-100,-100,-100,0,-100.0,-100.0
3,L_301_xx0_04,51780,59.94,51780,0,863.8638638638639,863.8638638638639,0.0,0,-100,-100,-100,-100,0,-100.0,-100.0
4,L_301_xx0_05,51930,59.94,51930,0,866.3663663663664,866.3663663663664,0.0,0,-100,-100,-100,-100,0,-100.0,-100.0
5,L_301_xx0_06,51180,59.94,50746,434,853.8538538538539,846.6132799466133,7.240573907240575,2,49335,50392,49335,49552,3.6369703036369705,823.0730730730731,826.6933600266934
6,L_301_xx0_06,51180,59.94,50746,434,853.8538538538539,846.6132799466133,7.240573907240575,2,49335,50392,50177,50392,3.6036036036036037,837.1204537871205,840.7073740407074
7,L_303_xx0_01,94470,59.94,94470,0,1576.076076076076,1576.076076076076,0.0,0,-100,-100,-100,-100,0,-100.0,-100.0
8,L_303_xx0_02,94950,59.94,94006,944,1584.0840840840842,1568.335001668335,15.749082415749083,1,84431,85374,84431,85374,15.749082415749083,1408.591925258592,1424.3243243243244
9,L_303_xx0_03,94980,59.94,94125,855,1584.5845845845847,1570.3203203203204,14.264264264264265,1,36907,37761,36907,37761,14.264264264264265,615.7323990657325,629.97997997998
10,L_303_xx0_04,94830,59.94,92967,1863,1582.0820820820823,1551.001001001001,31.08108108108108,2,7325,78555,7325,8540,20.286953620286955,122.20553887220554,142.4758091424758
11,L_303_xx0_04,94830,59.94,92967,1863,1582.0820820820823,1551.001001001001,31.08108108108108,2,7325,78555,77909,78555,10.794127460794128,1299.7831164497832,1310.5605605605606
12,L_303_xx0_05,94950,59.94,93737,1213,1584.0840840840842,1563.8471805138472,20.236903570236905,1,23789,25001,23789,25001,20.236903570236905,396.8802135468802,417.10043376710047
13,L_303_xx0_06,86700,59.94,84075,2625,1446.4464464464465,1402.6526526526527,43.793793793793796,3,81881,86699,81881,82130,4.170837504170838,1366.0493827160494,1370.2035368702036
14,L_303_xx0_06,86700,59.94,84075,2625,1446.4464464464465,1402.6526526526527,43.793793793793796,3,81881,86699,83447,83570,2.0687354020687354,1392.1755088421755,1394.2275608942275
15,L_303_xx0_06,86700,59.94,84075,2625,1446.4464464464465,1402.6526526526527,43.793793793793796,3,81881,86699,84449,86699,37.55422088755422,1408.8922255588923,1446.4297630964297
16,L_305_xx0_01,51540,59.94,51540,0,859.8598598598599,859.8598598598599,0.0,0,-100,-100,-100,-100,0,-100.0,-100.0
17,L_305_xx0_02,51810,59.94,51810,0,864.3643643643644,864.3643643643644,0.0,0,-100,-100,-100,-100,0,-100.0,-100.0
18,L_305_xx0_03,51660,59.94,51660,0,861.8618618618619,861.8618618618619,0.0,0,-100,-100,-100,-100,0,-100.0,-100.0
19,L_305_xx0_04,51930,59.94,51930,0,866.3663663663664,866.3663663663664,0.0,0,-100,-100,-100,-100,0,-100.0,-100.0
20,L_305_xx0_05,51720,59.94,51720,0,862.8628628628629,862.8628628628629,0.0,0,-100,-100,-100,-100,0,-100.0,-100.0
21,L_305_xx0_06,51810,59.94,51810,0,864.3643643643644,864.3643643643644,0.0,0,-100,-100,-100,-100,0,-100.0,-100.0
22,L_305_xx0_07,52020,59.94,52020,0,867.8678678678679,867.8678678678679,0.0,0,-100,-100,-100,-100,0,-100.0,-100.0
23,L_305_xx0_08,51870,59.94,51870,0,865.3653653653654,865.3653653653654,0.0,0,-100,-100,-100,-100,0,-100.0,-100.0
24,L_305_xx0_09,51270,59.94,50449,821,855.3553553553554,841.6583249916583,13.697030363697031,1,28402,29222,28402,29222,13.697030363697031,473.84050717384054,487.52085418752085
25,L_305_xx0_10,51780,59.94,51780,0,863.8638638638639,863.8638638638639,0.0,0,-100,-100,-100,-100,0,-100.0,-100.0
26,L_305_xx0_11,51750,59.94,51750,0,863.3633633633634,863.3633633633634,0.0,0,-100,-100,-100,-100,0,-100.0,-100.0
27,L_305_xx0_12,52260,59.94,51445,815,871.8718718718719,858.274941608275,13.596930263596931,1,31105,31919,31105,31919,13.596930263596931,518.9356022689357,532.5158491825159
28,L_305_xx0_13,51660,59.94,50627,1033,861.8618618618619,844.627961294628,17.233900567233903,1,25035,26067,25035,26067,17.233900567233903,417.6676676676677,434.8848848848849
29,L_305_xx0_14,52140,59.94,52140,0,869.86986986987,869.86986986987,0.0,0,-100,-100,-100,-100,0,-100.0,-100.0
30,L_305_xx0_15,44400,59.94,43751,649,740.7407407407408,729.9132465799132,10.827494160827495,4,40077,43302,40077,40189,1.8852185518852187,668.6186186186186,670.4871538204872
31,L_305_xx0_15,44400,59.94,43751,649,740.7407407407408,729.9132465799132,10.827494160827495,4,40077,43302,40831,41038,3.4701368034701368,681.1978645311979,684.6513179846513
32,L_305_xx0_15,44400,59.94,43751,649,740.7407407407408,729.9132465799132,10.827494160827495,4,40077,43302,41219,41440,3.7037037037037037,687.671004337671,691.3580246913581
33,L_305_xx0_15,44400,59.94,43751,649,740.7407407407408,729.9132465799132,10.827494160827495,4,40077,43302,43197,43302,1.7684351017684352,720.6706706706707,722.4224224224224
34,L_309_xx0_01,51210,59.94,50306,904,854.3543543543544,839.2726059392727,15.08174841508175,2,17014,43834,17014,17025,0.2002002002002002,283.8505171838505,284.03403403403405
