,Video_name,totalFrame,fps,IB_count,OOB_count,IB_time,OOB_time,OOB_event_cnt,OOB_event_duration,annotation_start_point,annotation_end_point
0,R_1_ch1_01,137142,30,128830,8312,4294.333333333333,277.06666666666666,6,167.96666666666667,20994,119455
1,R_1_ch1_01,137142,30,128830,8312,4294.333333333333,277.06666666666666,6,18.6,20994,119455
2,R_1_ch1_01,137142,30,128830,8312,4294.333333333333,277.06666666666666,6,20.733333333333334,20994,119455
3,R_1_ch1_01,137142,30,128830,8312,4294.333333333333,277.06666666666666,6,25.066666666666666,20994,119455
4,R_1_ch1_01,137142,30,128830,8312,4294.333333333333,277.06666666666666,6,21.633333333333333,20994,119455
5,R_1_ch1_01,137142,30,128830,8312,4294.333333333333,277.06666666666666,6,23.066666666666666,20994,119455
6,R_1_ch1_03,137293,30,132826,4467,4427.533333333334,148.9,6,21.4,5758,137293
7,R_1_ch1_03,137293,30,132826,4467,4427.533333333334,148.9,6,26.466666666666665,5758,137293
8,R_1_ch1_03,137293,30,132826,4467,4427.533333333334,148.9,6,27.266666666666666,5758,137293
9,R_1_ch1_03,137293,30,132826,4467,4427.533333333334,148.9,6,22.933333333333334,5758,137293
10,R_1_ch1_03,137293,30,132826,4467,4427.533333333334,148.9,6,37.9,5758,137293
11,R_1_ch1_03,137293,30,132826,4467,4427.533333333334,148.9,6,12.933333333333334,5758,137293
12,R_1_ch1_06,2071,30,1691,380,56.36666666666667,12.666666666666666,1,12.666666666666666,0,379
13,R_2_ch1_01,136952,30,119247,17705,3974.9,590.1666666666666,14,35.93333333333333,1919,135379
14,R_2_ch1_01,136952,30,119247,17705,3974.9,590.1666666666666,14,151.76666666666668,1919,135379
15,R_2_ch1_01,136952,30,119247,17705,3974.9,590.1666666666666,14,25.133333333333333,1919,135379
16,R_2_ch1_01,136952,30,119247,17705,3974.9,590.1666666666666,14,26.033333333333335,1919,135379
17,R_2_ch1_01,136952,30,119247,17705,3974.9,590.1666666666666,14,30.066666666666666,1919,135379
18,R_2_ch1_01,136952,30,119247,17705,3974.9,590.1666666666666,14,22.766666666666666,1919,135379
19,R_2_ch1_01,136952,30,119247,17705,3974.9,590.1666666666666,14,35.36666666666667,1919,135379
20,R_2_ch1_01,136952,30,119247,17705,3974.9,590.1666666666666,14,41.333333333333336,1919,135379
21,R_2_ch1_01,136952,30,119247,17705,3974.9,590.1666666666666,14,38.43333333333333,1919,135379
22,R_2_ch1_01,136952,30,119247,17705,3974.9,590.1666666666666,14,29.933333333333334,1919,135379
23,R_2_ch1_01,136952,30,119247,17705,3974.9,590.1666666666666,14,49.56666666666667,1919,135379
24,R_2_ch1_01,136952,30,119247,17705,3974.9,590.1666666666666,14,50.53333333333333,1919,135379
25,R_2_ch1_01,136952,30,119247,17705,3974.9,590.1666666666666,14,26.533333333333335,1919,135379
26,R_2_ch1_01,136952,30,119247,17705,3974.9,590.1666666666666,14,26.766666666666666,1919,135379
27,R_2_ch1_03,80289,30,75195,5094,2506.5,169.8,6,22.3,12285,80289
28,R_2_ch1_03,80289,30,75195,5094,2506.5,169.8,6,28.4,12285,80289
29,R_2_ch1_03,80289,30,75195,5094,2506.5,169.8,6,57.166666666666664,12285,80289
30,R_2_ch1_03,80289,30,75195,5094,2506.5,169.8,6,14.866666666666667,12285,80289
31,R_2_ch1_03,80289,30,75195,5094,2506.5,169.8,6,2.5,12285,80289
32,R_2_ch1_03,80289,30,75195,5094,2506.5,169.8,6,44.56666666666667,12285,80289
33,R_3_ch1_01,137038,30,122106,14932,4070.2,497.73333333333335,11,122.0,8684,119484
34,R_3_ch1_01,137038,30,122106,14932,4070.2,497.73333333333335,11,35.53333333333333,8684,119484
35,R_3_ch1_01,137038,30,122106,14932,4070.2,497.73333333333335,11,46.8,8684,119484
36,R_3_ch1_01,137038,30,122106,14932,4070.2,497.73333333333335,11,30.366666666666667,8684,119484
37,R_3_ch1_01,137038,30,122106,14932,4070.2,497.73333333333335,11,35.166666666666664,8684,119484
38,R_3_ch1_01,137038,30,122106,14932,4070.2,497.73333333333335,11,102.93333333333334,8684,119484
39,R_3_ch1_01,137038,30,122106,14932,4070.2,497.73333333333335,11,25.6,8684,119484
40,R_3_ch1_01,137038,30,122106,14932,4070.2,497.73333333333335,11,21.766666666666666,8684,119484
41,R_3_ch1_01,137038,30,122106,14932,4070.2,497.73333333333335,11,24.9,8684,119484
42,R_3_ch1_01,137038,30,122106,14932,4070.2,497.73333333333335,11,25.333333333333332,8684,119484
43,R_3_ch1_01,137038,30,122106,14932,4070.2,497.73333333333335,11,27.333333333333332,8684,119484
44,R_3_ch1_03,137531,30,134168,3363,4472.266666666666,112.1,5,15.633333333333333,16655,103891
45,R_3_ch1_03,137531,30,134168,3363,4472.266666666666,112.1,5,16.666666666666668,16655,103891
46,R_3_ch1_03,137531,30,134168,3363,4472.266666666666,112.1,5,38.233333333333334,16655,103891
47,R_3_ch1_03,137531,30,134168,3363,4472.266666666666,112.1,5,17.333333333333332,16655,103891
48,R_3_ch1_03,137531,30,134168,3363,4472.266666666666,112.1,5,24.233333333333334,16655,103891
49,R_3_ch1_05,51447,30,47055,4392,1568.5,146.4,4,76.96666666666667,16686,51447
50,R_3_ch1_05,51447,30,47055,4392,1568.5,146.4,4,17.0,16686,51447
51,R_3_ch1_05,51447,30,47055,4392,1568.5,146.4,4,7.766666666666667,16686,51447
52,R_3_ch1_05,51447,30,47055,4392,1568.5,146.4,4,44.666666666666664,16686,51447
53,R_4_ch1_01,137366,30,136626,740,4554.2,24.666666666666668,1,24.666666666666668,112475,113214
54,R_4_ch1_04,52173,30,41862,10311,1395.4,343.7,4,72.46666666666667,4495,52173
55,R_4_ch1_04,52173,30,41862,10311,1395.4,343.7,4,1.9333333333333333,4495,52173
56,R_4_ch1_04,52173,30,41862,10311,1395.4,343.7,4,2.066666666666667,4495,52173
57,R_4_ch1_04,52173,30,41862,10311,1395.4,343.7,4,267.23333333333335,4495,52173
58,R_5_ch1_01,137744,30,135518,2226,4517.266666666666,74.2,3,22.166666666666668,32888,100988
59,R_5_ch1_01,137744,30,135518,2226,4517.266666666666,74.2,3,33.6,32888,100988
60,R_5_ch1_01,137744,30,135518,2226,4517.266666666666,74.2,3,18.433333333333334,32888,100988
61,R_5_ch1_03,41288,30,37023,4265,1234.1,142.16666666666666,7,66.16666666666667,11791,41288
62,R_5_ch1_03,41288,30,37023,4265,1234.1,142.16666666666666,7,26.133333333333333,11791,41288
63,R_5_ch1_03,41288,30,37023,4265,1234.1,142.16666666666666,7,26.266666666666666,11791,41288
64,R_5_ch1_03,41288,30,37023,4265,1234.1,142.16666666666666,7,5.666666666666667,11791,41288
65,R_5_ch1_03,41288,30,37023,4265,1234.1,142.16666666666666,7,3.6666666666666665,11791,41288
66,R_5_ch1_03,41288,30,37023,4265,1234.1,142.16666666666666,7,3.9,11791,41288
67,R_5_ch1_03,41288,30,37023,4265,1234.1,142.16666666666666,7,10.366666666666667,11791,41288
68,R_6_ch1_01,137670,30,127008,10662,4233.6,355.4,10,18.0,4233,134312
69,R_6_ch1_01,137670,30,127008,10662,4233.6,355.4,10,11.5,4233,134312
70,R_6_ch1_01,137670,30,127008,10662,4233.6,355.4,10,165.96666666666667,4233,134312
71,R_6_ch1_01,137670,30,127008,10662,4233.6,355.4,10,26.1,4233,134312
72,R_6_ch1_01,137670,30,127008,10662,4233.6,355.4,10,22.2,4233,134312
73,R_6_ch1_01,137670,30,127008,10662,4233.6,355.4,10,24.6,4233,134312
74,R_6_ch1_01,137670,30,127008,10662,4233.6,355.4,10,19.766666666666666,4233,134312
75,R_6_ch1_01,137670,30,127008,10662,4233.6,355.4,10,21.333333333333332,4233,134312
76,R_6_ch1_01,137670,30,127008,10662,4233.6,355.4,10,19.8,4233,134312
77,R_6_ch1_01,137670,30,127008,10662,4233.6,355.4,10,26.133333333333333,4233,134312
78,R_6_ch1_03,137669,30,132686,4983,4422.866666666667,166.1,7,25.666666666666668,3369,132584
79,R_6_ch1_03,137669,30,132686,4983,4422.866666666667,166.1,7,21.8,3369,132584
80,R_6_ch1_03,137669,30,132686,4983,4422.866666666667,166.1,7,16.7,3369,132584
81,R_6_ch1_03,137669,30,132686,4983,4422.866666666667,166.1,7,66.83333333333333,3369,132584
82,R_6_ch1_03,137669,30,132686,4983,4422.866666666667,166.1,7,11.8,3369,132584
83,R_6_ch1_03,137669,30,132686,4983,4422.866666666667,166.1,7,21.5,3369,132584
84,R_6_ch1_03,137669,30,132686,4983,4422.866666666667,166.1,7,1.8,3369,132584
85,R_6_ch1_05,64185,30,27835,36350,927.8333333333334,1211.6666666666667,3,4.133333333333334,786,64185
86,R_6_ch1_05,64185,30,27835,36350,927.8333333333334,1211.6666666666667,3,11.1,786,64185
87,R_6_ch1_05,64185,30,27835,36350,927.8333333333334,1211.6666666666667,3,1196.4333333333334,786,64185
88,R_7_ch1_01,137762,30,131513,6249,4383.766666666666,208.3,7,13.133333333333333,939,131498
89,R_7_ch1_01,137762,30,131513,6249,4383.766666666666,208.3,7,5.4,939,131498
90,R_7_ch1_01,137762,30,131513,6249,4383.766666666666,208.3,7,14.733333333333333,939,131498
91,R_7_ch1_01,137762,30,131513,6249,4383.766666666666,208.3,7,129.56666666666666,939,131498
92,R_7_ch1_01,137762,30,131513,6249,4383.766666666666,208.3,7,15.433333333333334,939,131498
93,R_7_ch1_01,137762,30,131513,6249,4383.766666666666,208.3,7,15.466666666666667,939,131498
94,R_7_ch1_01,137762,30,131513,6249,4383.766666666666,208.3,7,14.566666666666666,939,131498
95,R_7_ch1_04,38904,30,35180,3724,1172.6666666666667,124.13333333333334,4,38.9,12237,38904
96,R_7_ch1_04,38904,30,35180,3724,1172.6666666666667,124.13333333333334,4,15.266666666666667,12237,38904
97,R_7_ch1_04,38904,30,35180,3724,1172.6666666666667,124.13333333333334,4,1.7666666666666666,12237,38904
98,R_7_ch1_04,38904,30,35180,3724,1172.6666666666667,124.13333333333334,4,68.2,12237,38904
99,R_10_ch1_01,137483,30,134555,2928,4485.166666666667,97.6,5,13.266666666666667,13102,120220
100,R_10_ch1_01,137483,30,134555,2928,4485.166666666667,97.6,5,22.5,13102,120220
101,R_10_ch1_01,137483,30,134555,2928,4485.166666666667,97.6,5,20.9,13102,120220
